"filename", "language", "JSON with Comments", "Properties", "SCSS", "CSS", "JavaScript", "XML", "Markdown", "JSON", "comment", "blank", "total"
"f:\root\programming\gazi-yapay-zeka-test1\.env", "Properties", 0, 22, 0, 0, 0, 0, 0, 0, 0, 2, 24
"f:\root\programming\gazi-yapay-zeka-test1\.eslintrc.json", "JSON with Comments", 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"f:\root\programming\gazi-yapay-zeka-test1\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 20, 0, 0, 15, 35
"f:\root\programming\gazi-yapay-zeka-test1\components\Card.js", "JavaScript", 0, 0, 0, 0, 49, 0, 0, 0, 0, 5, 54
"f:\root\programming\gazi-yapay-zeka-test1\components\Editor.js", "JavaScript", 0, 0, 0, 0, 34, 0, 0, 0, 3, 8, 45
"f:\root\programming\gazi-yapay-zeka-test1\components\NoSsr.js", "JavaScript", 0, 0, 0, 0, 8, 0, 0, 0, 0, 2, 10
"f:\root\programming\gazi-yapay-zeka-test1\components\background\Particle.jsx", "JavaScript", 0, 0, 0, 0, 144, 0, 0, 0, 4, 5, 153
"f:\root\programming\gazi-yapay-zeka-test1\components\card.module.scss", "SCSS", 0, 0, 83, 0, 0, 0, 0, 0, 2, 8, 93
"f:\root\programming\gazi-yapay-zeka-test1\components\custom-mui\CustomInput.js", "JavaScript", 0, 0, 0, 0, 49, 0, 0, 0, 0, 7, 56
"f:\root\programming\gazi-yapay-zeka-test1\components\custom-mui\styles.module.scss", "SCSS", 0, 0, 97, 0, 0, 0, 0, 0, 0, 8, 105
"f:\root\programming\gazi-yapay-zeka-test1\components\navbar\Navbar.js", "JavaScript", 0, 0, 0, 0, 163, 0, 0, 0, 0, 16, 179
"f:\root\programming\gazi-yapay-zeka-test1\components\navbar\styles.module.scss", "SCSS", 0, 0, 126, 0, 0, 0, 0, 0, 9, 22, 157
"f:\root\programming\gazi-yapay-zeka-test1\components\news\News.js", "JavaScript", 0, 0, 0, 0, 28, 0, 0, 0, 0, 2, 30
"f:\root\programming\gazi-yapay-zeka-test1\components\news\News.module.scss", "SCSS", 0, 0, 87, 0, 0, 0, 0, 0, 2, 5, 94
"f:\root\programming\gazi-yapay-zeka-test1\components\styles.module.scss", "SCSS", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 3
